"construction","variable","value"
"(很|也)夠\w+了\b","example1","['也夠打94分鐘了'"
"(很|也)夠\w+了\b","score1","4"
"(很|也)夠\w+了\b","example2","也夠鄉下了'"
"(很|也)夠\w+了\b","score2","2"
"(很|也)夠\w+了\b","example3","也夠我用了'"
"(很|也)夠\w+了\b","score3","4"
"(很|也)夠\w+了\b","example4","很夠很夠用了'"
"(很|也)夠\w+了\b","score4","5"
"(很|也)夠\w+了\b","score5","很夠力了']"
"(很|也)夠\w+了\b","score_4","4"
"(很|也)夠\w+了\b","average_score","3.8"
"(真的)?有夠\w+的?\b","example1","['有夠難看'"
"(真的)?有夠\w+的?\b","score1","1"
"(真的)?有夠\w+的?\b","example2","有夠大昨天有小豬說台廠已經出局'"
"(真的)?有夠\w+的?\b","score2","3"
"(真的)?有夠\w+的?\b","example3","有夠爛的遠傳'"
"(真的)?有夠\w+的?\b","score3","1"
"(真的)?有夠\w+的?\b","example4","有夠麻煩其他平台都有'"
"(真的)?有夠\w+的?\b","score4","1"
"(真的)?有夠\w+的?\b","score5","有夠爛的中華電信']"
"(真的)?有夠\w+的?\b","score_4","1"
"(真的)?有夠\w+的?\b","average_score","1.4"
"(置|拉)板凳等\w+\b","example1","['拉板凳等中華'"
"(置|拉)板凳等\w+\b","score1","3"
"(置|拉)板凳等\w+\b","example2","置板凳等後續']"
"(置|拉)板凳等\w+\b","score2","3"
"(置|拉)板凳等\w+\b","example3",NA
"(置|拉)板凳等\w+\b","score3",NA
"(置|拉)板凳等\w+\b","example4",NA
"(置|拉)板凳等\w+\b","score4",NA
"(置|拉)板凳等\w+\b","score5",NA
"(置|拉)板凳等\w+\b","score_4",NA
"(置|拉)板凳等\w+\b","average_score","3"
"(對\w+)?一點(都|也)不\w+\b","example1","['一點都不受影響'"
"(對\w+)?一點(都|也)不\w+\b","score1","3"
"(對\w+)?一點(都|也)不\w+\b","example2","一點都不想再多花400元呢'"
"(對\w+)?一點(都|也)不\w+\b","score2","2"
"(對\w+)?一點(都|也)不\w+\b","example3","一點都不奇怪啊'"
"(對\w+)?一點(都|也)不\w+\b","score3","3"
"(對\w+)?一點(都|也)不\w+\b","example4","一點都不會後悔'"
"(對\w+)?一點(都|也)不\w+\b","score4","4"
"(對\w+)?一點(都|也)不\w+\b","score5","一點也不過分']"
"(對\w+)?一點(都|也)不\w+\b","score_4","3"
"(對\w+)?一點(都|也)不\w+\b","average_score","3"
"\b\w+(到|的|得)離譜","example1","['難以置信的離譜'"
"\b\w+(到|的|得)離譜","score1","1"
"\b\w+(到|的|得)離譜","example2","藉此可打亂一下三大龍頭的離譜'"
"\b\w+(到|的|得)離譜","score2","1"
"\b\w+(到|的|得)離譜","example3","寫的資料錯的離譜'"
"\b\w+(到|的|得)離譜","score3","1"
"\b\w+(到|的|得)離譜","example4","慢的離譜'"
"\b\w+(到|的|得)離譜","score4","1"
"\b\w+(到|的|得)離譜","score5","5g標金高得離譜']"
"\b\w+(到|的|得)離譜","score_4","1"
"\b\w+(到|的|得)離譜","average_score","1"
"\b\w+(的|得)要死","example1","['訊號爛的要死'"
"\b\w+(的|得)要死","score1","1"
"\b\w+(的|得)要死","example2","結果最近網路慢的要死'"
"\b\w+(的|得)要死","score2","1"
"\b\w+(的|得)要死","example3","客服人員態度還差得要死'"
