,context,V.+
0,台星的態度就是在等宿主台哥，逸以待勞，準備寄生。,等/VC 逸以待勞/VH 準備/VF 寄生/VA
1,中華、遠傳，蓋一座拆一座,蓋/VC 拆/VC
2,幹⋯⋯⋯ 過兩個月續約我要換中華,過/VCL 續約/VA 換/VC
3,用過後，全台整體訊號都不錯的還是基地台最多的中華,用/VC 不錯/VH 最多/VH
4,不知道換成中華會不會好一點,知道/VK 換成/VG 好/VH
5,南橫公路從梅山口到長春祠只有中華電信有訊號,有/V_2
6,中華電信怎麼不是8G，還在搞4G,搞/VC
7,不知道多少台星LM的用戶在搖頭 ,知道/VK 搖頭/VA
8,中華電信 永遠表在最前面 ,表/VC
9,建議選中華 不然別家晚上自動限速就夠你受,建議/VE 選/VC 自動/VH 限速/VA 夠/VH 受/VJ
10,不要中華，要佔頻寬去別家比較便宜^_^ ,要/VC 佔/VJ 去/VCL 便宜/VH
11,你們家都耗費多少年的光陰了，依然未上架！,耗費/VC 上架/VB
12,這年頭還有人在用1399，難怪中華賺飽飽沒在怕,有/V_2 用/VC 賺/VC 飽飽/VH 怕/VK
13,只要去中華電信網頁登入帳密，就可以直接續約、改 資費、改會員資料，完全不需要其他認證，然後中華電信還自 認這麼寬鬆的流程沒問題 ,去/VCL 登入/VCL 直接/VH 續約/VA 改/VC 改/VC 需要/VK 認證/VA 認/VC 寬鬆/VH 沒/VJ
14,有些電話打來 你也沒答應 他還會自己幫你續,打來/VC 答應/VE
15,中華沒有讓我失望拿到最多接下來就是等六月開台了首波觀望OK的話會想辦 ,讓/VL 失望/VH 拿到/VC 最多/VH 開台/VC 觀望/VA 想辦/VE
16,中華電信跟推特有仇嗎？到晚上都會打不開圖⋯,有/V_2 打/VC 開/VC
17, 與其1門中華無限速 我寧願辦4家4門有限速吃到飽 ,無/VH 限速/VH 寧願/VK 辦/VC 有/VH 限速/VH 吃到飽/VC
18,無論高山、峽谷都不會沒訊號,沒/VJ
19, 亞太當然不用說，當地沒門市也沒人辦,說/VE 沒/VJ 沒/VJ 辦/VC
20,你看看中華電信吃到飽 有限制客人上網流量嗎? 玩不起就不要推出吃到飽 ,看看/VE 吃到/VC 飽/VH 有/V_2 上網/VA 玩不起/VJ 推出/VC 吃/VC 飽/VH
21,"中華給 了我縮水通話的499續約方案,我就不想續約了,何況你還是699才有吃到飽",給/VD 縮水/VH 通話/VB 續約/VA 想/VE 續約/VA 有/V_2 吃到/VC 飽/VH
22,HTML5遊戲：你連我都跑不動了還要跑雲端 ,跑不動/VH 跑/VA
23,中華>>>遠傳>>>>>>>>>台星>>>>>>台哥>>>>亞太 ,
24,如果你是股民 當然秒選獲利王 如果你想要網速.... ,想要/VE
25,盤子沒差 繼續用台哥,差/VH 繼續/VF 用/VC
26,專心經營電商吧， 獲利王。終生不用台胎,專心/VH 經營/VC
27,"NP來中華的新客戶可以辦488,贈送的通話比可以續約的499還好,而不管你中華年資多少,就是不符合 ！所以不爽之下就放棄中華了！",來/VA 新/VH 辦/VC 贈送/VD 通話/VB 續約/VA 還好/VH 符合/VJ 爽/VH 放棄/VC
28," 直接續約488不行嗎？還要放棄中華出去NP再回來辦488！這個我做不到,也不想這樣做就是 比你多用腦,所以我辦這個比較省！用了二十幾年中華,我也不會死守著中華！ ",直接/VH 續約/VA 不行/VH 放棄/VC 出去/VA 回來/VA 辦/VC 做/VC 到/VC 想/VE 這樣/VH 做/VC 辦/VC 省/VH 用/VC 死守/VC
29,優惠? 有比較好才能說是優惠,優惠/VJ 有/V_2 好/VH 說/VE 優惠/VJ
30,上次也是來電＂提醒＂合約將到期，＂好心＂ 提醒我提前續約可以拿到699吃到飽，不然就會變回799喔,來電/VH 提醒/VE 到期/VH 好心/VH 提醒/VE 提前/VB 續約/VA 拿到/VC 吃到/VC 飽/VH 變回/VJ
31,讓我也有了「愛情的模樣」❤️ ,讓/VL 有/V_2
32,要人升級？？ 中華麻煩先看看自己那什麼價格跟流量大小 ,升級/VH 看看/VE
33,我OK，你先來。,來/VA
34,繳1399吃到飯熱點還要被降速比4G慢鬼才轉5G,繳/VD 吃到/VC 降速/VHC 慢/VH 轉/VAC
35,一生一次的亞太 無收訊 沒網路 再便宜也無用--,收訊/VA 沒/VJ 便宜/VH 無用/VH
36,又不來促銷一下等很久,促銷/VC 等/VC 久/VH
37,問題是台哥大很爛呀！！！ ,爛/VH
38,與其辦這個 不如等亞太11元方案,辦/VC
39,從胎哥跳台星 爽用 ,跳台/VA 爽/VH 用/VC
40,懶得試用就選中華穩妥一點,懶得/VL 試用/VC 選/VC 穩妥/VH
41,台哥不推,推/VC
42,中華普遍穩,普遍/VH 穩/VH
43,台星看地區,看/VC
44,中華室內可能會連收都收不到 ,收/VC 收/VC 到/VC
45,當然是中華,
46,中華>台星>>>>>>>>>台哥,
47,"方便又迅速！
Good!",方便/VH 迅速/VH
48,你到底在不在意通話分鐘？在意的話別把把遠傳3 19拉進來討論 ,在不在意/VK 通話/VB 在意/VK 拉進來/VC 討論/VE
49,覺得myvideo比較好用,覺得/VK 好用/VH
50,不推中華+1一進房間直接跳沒有訊號^_^ ,推/VC 進/VCL 直接/VH 跳/VA 沒有/VJ
51,中華也不好,好/VH
52,想早點體驗5G網 路的話就得準備不少的銀彈了。,想/VE 體驗/VC 準備/VC
53,還好台灣之星有撐住😁😁 ,有/V_2 撐住/VC
54,這一千多億如能拿來增設及優化4G基地台讓涵蓋率提升增加上網體驗會不會比新建5G更好呢？,拿來/VC 增設/VC 優化/VHC 讓/VL 提升/VC 增加/VHC 上網/VA 體驗/VC 新建/VC 好/VH
55,打電話去中華電信 客服看她們有什麼方案？第一個客服說她看不到我過去幾個月的用量，直接建議我用999方案。我問她有沒有便宜一點的？她說有79 9。我打去台灣大哥大客服，她們直接說499不降速。會馬上請客服吧Sim卡和合約書用黑貓寄給我。 我又打回中華電信看有沒有 得商量，她說要請示主管。一小時後有人打來了，中華電信給20年VIP老客戶最好的方案是599，然後再談她說可以再送第一年每 月100元通話費.....第二年呢？她說抱歉了...吃定老客戶的忠誠度！ 大家一起Bye bye吧中華電信....,打電話/VB 去/VCL 看/VC 有/V_2 說/VE 看/VE 到/VE 直接/VH 建議/VE 問/VE 有/V_2 便宜/VH 說/VE 有/V_2 打去/VC 直接/VH 說/VE 降速/VHC 請/VF 寄給/VD 打回/VCL 看/VC 有/V_2 商量/VE 說/VE 請示/VC 有/V_2 打來/VC 給/VD 老/VH 好/VH 談/VE 說/VE 送/VD 說/VE 抱歉/VK 吃定/VC 老/VH
56,才$499吃到飽不降速你就滿足囉~~~那如果你知道台哥大遠傳已經很多$299吃到飽不降速不知道作何感想~~~,吃到/VC 飽/VH 降速/VHC 滿足/VHC 知道/VK 吃到/VC 飽/VH 降速/VC 知道/VK 作/VC
57,才$499吃到飽不降速你就滿足囉~~~那如果你知道台哥大遠傳已經很多$299吃到飽不降速不知道作何感想~~~,吃到/VC 飽/VH 降速/VHC 滿足/VHC 知道/VK 吃到/VC 飽/VH 降速/VC 知道/VK 作/VC
58,中華的主力應該都是軍公教吧 它們只有軍公教專案，其他才不鳥你咧,有/V_2 鳥/VC
59,為什麼你會覺得台哥大499吃到飽算很便宜🤔🤔,覺得/VK 吃到/VC 飽/VH 算/VG 便宜/VH
60,收不到訊號，給你吃到撐也沒用。 ,收/VC 到/VC 吃/VC 撐/VC 沒用/VH
61,收不到訊號，給你吃到撐也沒用。,收/VC 到/VC 吃/VC 撐/VC 沒用/VH
62,到幾年前3G要升級成4G時；同樣1G流量的合約， 新申辦/攜碼只要299；我老客戶硬是要399！ 打電話去溝通了很久最後才幫我減免成333，從那次後我就開始跳來跳去。 之前我直接在門市跟店員說：「反正老客戶就是廢物，永遠比不上新客戶。」 店員直接說不出話。想了很久才擠出：「可是老客戶免高額預繳金啊！」 我直接跟他說：「我手機都買空機了，有什麼預繳金要繳！」 當時真的覺得這個市場都有病！ ,升級成/VG 申辦/VC 老/VH 要/VC 打電話/VB 溝通/VC 久/VH 減免成/VJ 開始/VL 跳來跳去/VA 直接/VH 說/VE 老/VH 比不上/VJ 新/VH 直接/VH 說/VE 出/VE 想/VE 久/VH 擠出/VC 老/VH 免/VJ 直接/VH 說/VE 買/VC 有/V_2 繳/VD 覺得/VK 有病/V_2
