,context,closed_class
0,台星的態度就是在等宿主台哥，逸以待勞，準備寄生。,的　 就　 是　 在　 ，　 ，　 。　
1,中華、遠傳，蓋一座拆一座,、　 ，　
2,幹⋯⋯⋯ 過兩個月續約我要換中華,幹　 ⋯　 ⋯　 ⋯　  　 要　
3,用過後，全台整體訊號都不錯的還是基地台最多的中華,過　 ，　 都　 的　 還　 是　 的　
4,不知道換成中華會不會好一點,不　 會不會　 一點　
5,南橫公路從梅山口到長春祠只有中華電信有訊號,從　 到　 只有　
6,中華電信怎麼不是8G，還在搞4G,怎麼　 不　 是　 ，　 還　 在　 G　
7,不知道多少台星LM的用戶在搖頭 ,不　 LM　 的　 在　  　
8,中華電信 永遠表在最前面 , 　 永遠　 在　 最前面　  　
9,建議選中華 不然別家晚上自動限速就夠你受, 　 不然　 就　
10,不要中華，要佔頻寬去別家比較便宜^_^ ,不　 ，　 要　 比較　 ^_^ 　
11,你們家都耗費多少年的光陰了，依然未上架！,都　 的　 了　 ，　 依然　 未　 ！　
12,這年頭還有人在用1399，難怪中華賺飽飽沒在怕,還　 在　 ，　 難怪　 沒　 在　
13,只要去中華電信網頁登入帳密，就可以直接續約、改 資費、改會員資料，完全不需要其他認證，然後中華電信還自 認這麼寬鬆的流程沒問題 ,只要　 ，　 就　 可以　 、　  　 、　 ，　 完全　 不　 ，　 然後　 還　 自 　 這麼　 的　  　
14,有些電話打來 你也沒答應 他還會自己幫你續, 　 也　 沒　  　 還　 會　 幫　 續　
15,中華沒有讓我失望拿到最多接下來就是等六月開台了首波觀望OK的話會想辦 ,沒有　 接下來　 就是　 等　 了　 OK　 的話　 會　  　
16,中華電信跟推特有仇嗎？到晚上都會打不開圖⋯,跟　 嗎　 ？　 到　 都　 會　 不　 ⋯　
17, 與其1門中華無限速 我寧願辦4家4門有限速吃到飽 , 　 與　  　  　
18,無論高山、峽谷都不會沒訊號,無論　 、　 都　 不會　
19, 亞太當然不用說，當地沒門市也沒人辦, 　 當然　 不用　 ，　 也　
20,你看看中華電信吃到飽 有限制客人上網流量嗎? 玩不起就不要推出吃到飽 , 　 嗎　 ?　  　 就　 不要　 到　  　
21,"中華給 了我縮水通話的499續約方案,我就不想續約了,何況你還是699才有吃到飽"," 　 了　 的　 ,　 就　 不　 了　 ,　 何況　 還是　 才　"
22,HTML5遊戲：你連我都跑不動了還要跑雲端 ,HTML5　 ：　 連　 都　 了　 還　 要　  　
23,中華>>>遠傳>>>>>>>>>台星>>>>>>台哥>>>>亞太 ,>>>　 >>>>>>>>>　 >>>>>>　 >>>>　  　
24,如果你是股民 當然秒選獲利王 如果你想要網速.... ,如果　 是　  　 當然　  　 如果　 ...　 .　  　
25,盤子沒差 繼續用台哥,沒　  　
26,專心經營電商吧， 獲利王。終生不用台胎,吧　 ，　  　 。　 不用　
27,"NP來中華的新客戶可以辦488,贈送的通話比可以續約的499還好,而不管你中華年資多少,就是不符合 ！所以不爽之下就放棄中華了！","NP　 的　 可以　 ,　 的　 比　 可以　 的　 ,　 而　 不管　 ,　 就是　 不　  　 ！　 所以　 不　 就　 了　 ！　"
28," 直接續約488不行嗎？還要放棄中華出去NP再回來辦488！這個我做不到,也不想這樣做就是 比你多用腦,所以我辦這個比較省！用了二十幾年中華,我也不會死守著中華！ "," 　 嗎　 ？　 還要　 NP　 再　 ！　 不　 ,　 也　 不　 就　 是　  　 比　 多　 用　 ,　 所以　 比較　 ！　 了　 ,　 也　 不會　 著　 ！　  　"
29,優惠? 有比較好才能說是優惠,?　  　 比較　 才　 能　 是　
30,上次也是來電＂提醒＂合約將到期，＂好心＂ 提醒我提前續約可以拿到699吃到飽，不然就會變回799喔,也　 是　 ＂　 ＂　 將　 ，　 ＂　 ＂　  　 可以　 ，　 不然　 就　 會　 喔　
31,讓我也有了「愛情的模樣」❤️ ,也　 了　 「　 的　 」　 ❤️　  　
32,要人升級？？ 中華麻煩先看看自己那什麼價格跟流量大小 ,要　 ？　 ？　 先　 跟　  　
33,我OK，你先來。,，　 先　 。　
34,繳1399吃到飯熱點還要被降速比4G慢鬼才轉5G,還要　 被　 比　 才　
35,一生一次的亞太 無收訊 沒網路 再便宜也無用--,的　  　  　  　 再　 也　 --　
36,又不來促銷一下等很久,又　 不　 來　 很　
37,問題是台哥大很爛呀！！！ ,是　 很　 呀　 ！　 ！　 ！　  　
38,與其辦這個 不如等亞太11元方案,與其　  不如　 等　
39,從胎哥跳台星 爽用 ,從　  　  　
40,懶得試用就選中華穩妥一點,就　 一點　
41,台哥不推,不　
42,中華普遍穩,
43,台星看地區,
44,中華室內可能會連收都收不到 ,可能　 會　 連　 都　 不　  　
45,當然是中華,當然　 是　
46,中華>台星>>>>>>>>>台哥,>　 >>>>>>>>>　
47,"方便又迅速！
Good!","又　 ！　 
Good　 !　"
48,你到底在不在意通話分鐘？在意的話別把把遠傳3 19拉進來討論 ,到底　 ？　 的　 別　 把　 把　  　
49,覺得myvideo比較好用,myvideo　 比較　
50,不推中華+1一進房間直接跳沒有訊號^_^ ,不　 +1　 一　 ^_^　  　
51,中華也不好,也　 不　
52,想早點體驗5G網 路的話就得準備不少的銀彈了。,早點　 5G網　  路　 的話　 就　 得　 的　 了　 。　
53,還好台灣之星有撐住😁😁 ,還好　 之　 😁😁 　
54,這一千多億如能拿來增設及優化4G基地台讓涵蓋率提升增加上網體驗會不會比新建5G更好呢？,如　 能　 及　 會不會　 比　 更　 呢　 ？　
