construction,example1,score,example2,score,example3,score,example4,score,example5,score,average_score
純噓\w+\b,['純噓亞太',1,純噓頂新之心',1,純噓獲利王',1,純噓樓上',1,純噓林之晨'],1,1
\b\w+能\w\s?，?\w+都能\w了\b,['店員的話能信，連屎都能吃了',1,屁話能信史都能吃了'],1,,,,,,,1
\b\w+秀下限\w+\b,['厚顏無恥集體秀下限的國家特許電信商',1,說遠傳主導是在秀下限喔',1,一定會有貪小便宜秀下限想要鑽漏洞的客人樓主說台灣鯛是能占用戶的幾',1,不懂別秀下限了',1,先搞懂小七業務再來秀下限喔'],1,1
\b\w+心酸的?\w*\b,['不然問哪個是問心酸',1,現在只有送心酸',1,沒有5g看這不是看心酸',1,辦心酸的喔',1,5g網路都還沒開通你們就提早推5g體驗是在推心酸嗎'],1,1
\b\w+敲盤子\w*\b,['各家都拿高資費來敲盤子顆顆',1,遠傳台哥是敲盤子喔',1,根本敲盤子',1,這合約分明敲盤子',1,蘋果又出來敲盤子'],1,1
\w到(快|要)?吐血\b,['慢到快吐血',1,聽到快吐血',1,用到吐血',1,看到吐血',1,爛到快吐血'],1,1
被\w+到死,['被八車的自助餐坑中午的時候排八方雲集排到死',1,被扣錢扣到死',1,被靠北到死',1,被騙到死',1,被中華電信幹到死'],1,1
\b\w+是在哈囉,['說好支援所有電信是在哈囉',1,ios不支援是在哈囉',1,網路是在哈囉',1,封鎖我是在哈囉',1,到底是在哈囉'],1,1
真(的|ㄉ)\w+到有剩,['真的廢到有剩',1,真的是爛到有剩',1,真的爛到有剩',1,真ㄉ爛到有剩'],1,,,1
\b\w+廢到笑,['企客688真的是廢到笑',1,遠傳廢到笑',1,中華真的廢到笑',1,靠背這個真的廢到笑',1,效率真的廢到笑'],1,1
\b\w+(到|的|得)離譜,['難以置信的離譜',1,藉此可打亂一下三大龍頭的離譜',1,寫的資料錯的離譜',1,慢的離譜',1,5g標金高得離譜'],1,1
沒一個\w+的,['沒一個解決的',1,沒一個行的',1,沒一個業者敢把基地台設定資料公開來證明自己沒限速的',1,沒一個是自己付電話費的啊我就真的',1,沒一個是真的'],1,1
只有遠傳\s?沒有\w{2},['只有遠傳沒有收訊',1,只有遠傳沒有訊息',1,只有遠傳 沒有ｏｏ',3,只有遠傳 沒有消息',1,只有遠傳 沒有訊息'],1,1.4
