"","attribute","candidate","polarity","relatedness"
"1","[通訊]涵蓋","不好",2,3
"2","[通訊]網速","不好",2,2
"3","[加值]國際漫遊","不錯",4,3
"4","[加值]影音娛樂","不錯",4,2
"5","[其他]客服","不錯",4,2
"6","[通訊]涵蓋","不錯",4,3
"7","[通訊]網速","不錯",4,2
"8","[資費]方案活動","不錯",4,2
"9","[資費]續約攜碼","不錯",4,3
"10","[通訊]涵蓋","不穩",1,5
"11","[通訊]網速","不穩",2,5
"12","[加值]國際漫遊","方便",4,4
"13","[資費]低資費方案","方便",4,4
"14","[通訊]涵蓋","比較好",4,3
"15","[通訊]網速","比較好",4,2
"16","[通訊]涵蓋","比較快",4,5
"17","[通訊]網速","比較快",4,5
"18","[通訊]涵蓋","比較穩",4,5
"19","[通訊]網速","比較穩",4,5
"20","[通訊]涵蓋","比較穩定",4,5
"21","[通訊]網速","比較穩定",4,5
"22","[加值]國際漫遊","划算",5,4
"23","[資費]低資費方案","划算",5,5
"24","[資費]續約攜碼","划算",5,5
"25","[加值]vowifi","好用",5,4
"26","[加值]影音娛樂","好用",4,5
"27","[通訊]涵蓋","收訊",3,5
"28","[資費]低資費方案","收訊",3,4
"29","[加值]國際漫遊","便宜",4,4
"30","[加值]影音娛樂","便宜",4,3
"31","[加值]國際漫遊","很不錯",5,3
"32","[通訊]涵蓋","很不錯",4,3
"33","[通訊]涵蓋","很好",5,3
"34","[通訊]網速","很好",4,2
"35","[通訊]涵蓋","很差",1,3
"36","[通訊]網速","很差",2,2
"37","[通訊]涵蓋","很順",5,5
"38","[通訊]網速","很順",5,5
"39","[通訊]涵蓋","很爛",1,3
"40","[通訊]網速","很爛",1,2
"41","[通訊]涵蓋","超差",1,3
"42","[通訊]網速","超差",1,2
"43","[通訊]涵蓋","超慢",1,3
"44","[通訊]網速","超慢",1,5
"45","[通訊]涵蓋","超爛",1,3
"46","[通訊]網速","超爛",1,2
"47","[通訊]限速","跑不動",1,5
"48","[通訊]網速","跑不動",2,4
"49","[通訊]國內電信漫遊","滿格",5,5
"50","[通訊]涵蓋","滿格",5,5
"51","[其他]客服","積極",4,4
"52","[通訊]頻段","積極",5,1
"53","[其他]固網","穩定",5,5
"54","[通訊]涵蓋","穩定",4,5
"55","[通訊]網速","穩定",5,5
"56","[通訊]涵蓋","爛到",1,3
"57","[通訊]網速","爛到",1,2
"58","[通訊]涵蓋","蠻穩",4,5
"59","[通訊]網速","蠻穩",4,5
